term,normalized_term,category
"Somatotropinoma, Familial Isolated",familiar isolated,disease
"Avulsions, Laryngeal Nerve",laryngeal nerve,disease
Nervous System Autoimmune Disease Models,nervous system autoimmune disease model,disease
"Disorder, Sleep",disorder sleep,disease
"Pupillary Function, Abnormal",pupillary function abnormal,disease
"Deficiencies, Acid Maltase",deficit acid,disease
Paranoid Disorder,paranoid disorder,disease
Recurrent Vestibular Neuritis,recurrent vestibular neuritis,disease
"Metachromatic Leukodystrophies, Adult",metachromatic adult,disease
"Encephalocele, Frontal",frontal,disease
Infectious Myositides,infection,disease
"Contusions, Olfactory Nerve",contusion olfactory nerve,disease
"Glycogen Storage Disease Type II, Adult",glycogen storage disease type ii adult,disease
Medial Plantar Neuropathies,medical plantar neuropathy,disease
Machado-Joseph Disease Type I,machado joseph disease type,disease
Forehead Trauma,forehead trauma,disease
Parinauds Syndrome,syndrome,disease
Developmental Communication Disorder,development communication disorder,disease
"Illusions, Kinesthetic",illusion kinesthetic,disease
Myoclonic Cerebellar Dyssynergias,myoclonic cerebellum,disease
"Hemorrhage, Post-Traumatic Brainstem",hemorrhage post traumatic brainstem,disease
"Neuropathies, Distal Medial",neuropathy distal medical,disease
Hemangioblastic Meningiomas,meningioma,disease
"Fatigue Syndromes, Postviral",fatigue syndrome,disease
Subdural Hygroma,subdural,disease
"Epilepsies, Symptomatic Tonic-Clonic",epilepsies symptom tonic clonic,disease
"Tremor, Massive",tremor massive,disease
Acoustic Neuromas,acoustic,disease
"Avulsion, Hypoglossal Nerve",avulsion hypoglossal nerve,disease
"Partial Seizures, Simple, Consciousness Preserved",partial seizure simple conscious preserved,disease
Dominant Optic Atrophy,dominant optic atrophy,disease
Generalized Nonconvulsive Epilepsy,general epilepsy,disease
"Articulations, Unintelligible",articulation unintelligible,disease
Foodborne Botulism,foodborne,disease
"Vasculitis, HIV-1-Associated CNS",vasculitis hiv associated cns,disease
Pareses,,disease
"Syndrome, POEMS",syndrome,disease
"Disorders, Neuronal Migration",disorder neuronal migration,disease
"Reflex, Triceps, Decreased",reflex triceps decreased,disease
"Multiple Sclerosis, Progressive Relapsing",multiple sclerosis progressive relapsing,disease
"Progressive Muscular Dystrophy, Duchenne Type",progressive muscular dystrophy duchenne type,disease
"Myopathy, Rod Body",myopathy rod body,disease
Botulism,,disease
Glycogen Storage Disease Type VII,glycogen storage disease type vii,disease
Cerebrovascular Trauma,cerebrovascular trauma,disease
"Reflex, Ankle, Abnormal",reflex ankle abnormal,disease
"Compression Syndrome, Nerve",compression syndrome nerve,disease
Basilar Artery Ischemias,basilar artery,disease
"Familial Ataxia, Friedreich",familiar ataxia friedreich,disease
Powassan Encephalitides,,disease
Meningeal Cancers,meninges cancer,disease
Occipital Lobe Epilepsies,occipital lobe epilepsies,disease
Mucopolysaccharidosis II,ii,disease
Polymyoclonus,,disease
"Amnesias, Hysterical",,disease
Dyssomnias,,disease
"Nerve Avulsions, Olfactory",nerve olfactory,disease
Degenerative Retinoschis,degeneration,disease
Central Nervous System Inborn Metabolic Diseases,central nervous system inborn metabolic disease,disease
Type C Cockayne Syndrome,type syndrome,disease
"Meningioma, Malignant",meningioma malignant,disease
Friedreich Ataxias,friedreich ataxia,disease
Total Third-Nerve Palsy,total third nerve palsy,disease
"Neuropathy, Peripheral",neuropathy peripheral,disease
Post-Ictal Memory Losses,post ictal memory losses,disease
Muscle Disorder,muscle disorder,disease
"Retraction Syndrome, Ocular",retraction syndrome ocular,disease
"External Ophthalmoplegia, Progressive",external ophthalmic progressive,disease
"Paralyses, Central Facial",central facial,disease
Sensory Neuritis,sensory neuritis,disease
Organic Arsenic Poisonings,organic arsenic,disease
MEB (Muscle-Eye-Brain) Syndrome,meb muscle eye brain syndrome,disease
Friedreich's Ataxia,friedreich ataxia,disease
Cerebral Ventricle Tumor,cerebral ventricle tumor,disease
"Epilepsies, Generalized Convulsive",epilepsies general convulsions,disease
"Hematoma, Traumatic Subdural",hematoma traumatic subdural,disease
"Eosinophilia-Myalgia Syndrome, L-Tryptophan-Related",eosinophilia myalgia syndrome tryptophan related,disease
"Spinal Cerebrospinal Fluid Leak, Post Traumatic",spinal cerebrospinal fluid leak post traumatic,disease
Leptomeningeal Carcinomatoses,leptomeningeal,disease
Infantile Form Sialurias,infantile form,disease
Jargon Aphasias,jargon aphasia,disease
Hypertrophic Neuropathy of Dejerine-Sottas,hypertrophic neuropathy dejerine,disease
Phytanic Acid Storage Disease,acid storage disease,disease
"Horner Syndrome, Acquired",horner syndrome acquired,disease
Pill Rolling Tremors,pill rolling tremor,disease
Occult Spina Bifida,occult spina bifida,disease
"Neuropathy, Diabetic",neuropathy diabetic,disease
"Cerebellar Hemorrhage, Traumatic",cerebellum hemorrhage traumatic,disease
"Artery Insufficiency, Vertebral",artery insufficient vertebrate,disease
"Esotropias, Primary",primary,disease
"Atrophies, Dentatorubral-Pallidoluysian",atrophic,disease
Canavan van Bogaert Bertrand Disease,van bertrand disease,disease
"Delay, Speech",delay speech,disease
"Muscular Dystrophy, Duchenne Type",muscular dystrophy duchenne type,disease
Antenatal Myasthenia Gravis,antenatal myasthenia gravis,disease
"Subarachnoid Hemorrhages, Aneurysmal",subarachnoid hemorrhage aneurysm,disease
Experimental High Pressure Neurological Syndrome,experimental high pressure neurological syndrome,disease
"Syndrome, Marker X",syndrome marker x,disease
Confusional Arousal,confusion arousal,disease
FRAXA Syndromes,syndrome,disease
"Venous Infarctions, Brain",venous infarction brain,disease
Sepsis-Associated Deliriums,sepsis associated,disease
"Headache, Primary Cough",headache primary cough,disease
"Disease, Fothergill",disease,disease
"Arnold-Chiari Malformation, Type 4",arnold chiari malformation type,disease
Martin Bell Syndrome,martin bell syndrome,disease
"Cerebral Palsies, Dystonic-Rigid",cerebral palsies dystonia rigid,disease
Familial Dystonia,familiar dystonia,disease
Mercury Induced Nervous System Diseases,mercury induced nervous system disease,disease
"Syndrome, FRAXE",syndrome,disease
HMSN Type II,type ii,disease
Alcohol Induced Korsakoff Syndrome,alcohol induced korsakoff syndrome,disease
"Atrophy IV, Olivopontocerebellar",atrophy iv,disease
Festinating Gait,gait,disease
Paresthesia,paresthesia,disease
"Tinnitus, Noise Induced",tinnitus noise induced,disease
"Dystrophy, Ocular Muscular",dystrophy ocular muscular,disease
Stilling-Turk-Duane Syndromes,turk syndrome,disease
"Torsion Dystonia, Idiopathic",torsion dystonia idiopathic,disease
Coordination Lack,coordination lack,disease
"Gait, Charcot",gait charcot,disease
Neurotoxin Disease,neurotoxic disease,disease
Erb-Duchenne Paralyses,erb duchenne,disease
"Syndrome, Arnold-Chiari",syndrome arnold chiari,disease
Epidemic Neurolabyrinthitides,epidemic,disease
"Traumas, Optic Nerve",trauma optic nerve,disease
"Hemiplegia, Crossed",hemiplegia crossed,disease
Migraine with Prolonged Aura,migraine prolonged aura,disease
Acquired Gerstmann Syndrome,acquired gerstmann syndrome,disease
Phenylketonuria I,phenylketonuria,disease
Limb Tremors,limb tremor,disease
"Muscular Dystrophies, Distal",muscular dystrophy distal,disease
"Meningoencephalitides, Primary Amebic",primary,disease
"Dementia, Lacunar",dementia lacunar,disease
"Nevus, Verrucous",,disease
"Fatigue-Fibromyalgia Syndromes, Chronic",fatigue fibromyalgia syndrome chronic,disease
"Muscular Atrophy, Spinal, Infantile",muscular atrophy spinal infantile,disease
Polyradiculoneuritides,,disease
Type I Mucolipidoses,type,disease
Agnosia for Smell,agnosia smell,disease
"Parkinsonism, Atherosclerotic",parkinson atherosclerosis,disease
Early-Onset Globoid Cell Leukodystrophy,early onset cell leukodystrophy,disease
Hypokalemic Periodic Paralysis,period paralysis,disease
Cerebellopontine Angle Acoustic Neuroma,cerebellopontine angle acoustic neuroma,disease
"Nerve Injuries, Laryngeal",nerve injuries laryngeal,disease
Late Post Traumatic Seizures,late post traumatic seizure,disease
"Vibration Syndrome, Hand-Arm",vibration syndrome hand arm,disease
"Paralysis, Peripheral Facial",paralysis peripheral facial,disease
"Myositis, Tropical",myositis tropical,disease
Petrous Sinus Thrombophlebitis,petrous sinus,disease
HMSN,,disease
"Headache, Tension-Vascular",headache tension vascular,disease
Polyradiculoneuropathy,,disease
Toxic Encephalopathy,toxic encephalopathy,disease
Primary Parkinsonism,primary parkinson,disease
"Encephalopathy, Toxic",encephalopathy toxic,disease
Machado-Joseph Azorean Disease,machado joseph disease,disease
Batten-Mayou Disease,disease,disease
"Nerve Injury, Oculomotor",nerve injury oculomotor,disease
Disorders of the Autonomic Nervous System,disorder autonomic nervous system,disease
"Neuritis, Brachial",neuritis brachial,disease
"Sensation Diminisheds, Pain",sensation pain,disease
"Syndromes, Alien Hand",syndrome alien hand,disease
"Epilepsies, Digestive",epilepsies digestive,disease
Cerebral Capillary Malformation,cerebral capillary malformation,disease
Orofacial Dyskinesia,orofacial dyskinesia,disease
beta-Galactosidase Deficiency,beta galactosidase deficit,disease
Down's Syndrome,syndrome,disease
Gerstmann Straussler Scheinker Syndrome,gerstmann syndrome,disease
Posterior Cerebral Artery Aneurysm,posterior cerebral artery aneurysm,disease
"Malformation, Dandy-Walker",malformation dandy walker,disease
Fetal Cerebral Ventriculomegaly,fetal cerebral ventricular,disease
Non-Phenylketonuric Hyperphenylalaninemias,non,disease
Traumatic Brain Stem Hematoma,traumatic brainstem hematoma,disease
"Metachromatic Leukodystrophy, Adult-Type",metachromatic leukodystrophy adult type,disease
Dementia With Amyotrophic Lateral Sclerosis,dementia amyotrophic lateral sclerosis,disease
"Pain Syndrome, Craniofacial",pain syndrome craniofacial,disease
Ageusic Aphasias,aphasia,disease
"Syndromes, Retraction",syndrome retraction,disease
Ulnar Nerve Palsy,ulnar nerve palsy,disease
"Degenerations, Frontotemporal Lobar",degeneration frontotemporal lobar,disease
Generalized Myotonia of Thomsen,general thomsen,disease
Thoracic Outlet Neurovascular Syndrome,thoracic outlet neurovascular syndrome,disease
"Cerebral Palsy, Congenital",cerebral palsy congenital,disease
"Injury, Eighth Cranial Nerve",injury eighth cranial nerve,disease
Laing Early-Onset Distal Myopathy,early onset distal myopathy,disease
"Brain Neoplasms, Benign",brain neoplasm benign,disease
"Meningiomas, Fibrous",meningioma fibrous,disease
6th Nerve Palsy,nerve palsy,disease
Esthesioneuroblastomas,,disease
"Demyelinating Disease, Autoimmune, CNS",demyelinating disease autoimmune cns,disease
Miller-Dieker Lissencephaly,miller lissencephaly,disease
"Neuronal Ceroid Lipofuscinosis, Adult Type",neuronal ceroid adult type,disease
Radiculitis,,disease
"Reflex Absent, Bulbocavernousus",reflex absent,disease
Pudendal Neuralgia,neuralgia,disease
"Degeneration, Spino-Cerebellar",degeneration spin cerebellum,disease
"Dementia, Alzheimer-Type (ATD)",dementia alzheimer type atd,disease
"Necrotizing Encephalitis, Acute",necrotizing encephalitis acute,disease
"Leukoencephalopathies, Progressive Multifocal",progressive multifocal,disease
"Syndrome, Sleep Apnea, Obstructive",syndrome sleep apnea obstructive,disease
Malignant Cranial Nerve Neoplasms,malignant cranial nerve neoplasm,disease
"Demyelinating Autoimmune Disease, Peripheral",demyelination autoimmune disease peripheral,disease
"Syndrome, Gelineau's",syndrome,disease
Supraorbital Neuralgia,supraorbital neuralgia,disease
"Catatonia, Schizophreniform",catatonic schizophrenia,disease
"Agraphia, Constructional",agraphia construction,disease
"Neuropathy, Hereditary Sensory Radicular, Autosomal Recessive",neuropathy hereditary sensory radicular autosomal recessive,disease
Peripheral Nerve Injuries,peripheral nerve injuries,disease
Sleep Fragmentation,sleep fragmentation,disease
Insomnias,,disease
"Gangliosidosis GM1, Adult",gm1 adult,disease
"Hemangioma, Cavernous, Central Nervous System",hemangioma cavernous central nervous system,disease
"Pneumocephalus, Traumatic",traumatic,disease
"Vasculitis, Secondary CNS",vasculitis secondary cns,disease
"NBIA, PLA2G6 Related",related,disease
"Diseases, Posterior Pituitary",disease posterior pituitary,disease
Muscular Dystrophy Limb Girdle with Alpha Sarcoglycan Deficiency,muscular dystrophy limb girdle alpha deficit,disease
Lateral Popliteal Neuropathy,lateral popliteal neuropathy,disease
"Ataxia, Sensory",ataxia sensory,disease
"Infection, Cerebral Protozoal",infection cerebral,disease
"Neoplasms, Primary Supratentorial",neoplasm primary supratentorial,disease
Papilloma of Choroid Plexus,papilloma choroid plexus,disease
"Neuralgia, Trifacial",neuralgia,disease
Neurenteric Cysts,cyst,disease
Pseudodystonia,,disease
Color Vision Defects,color vision defect,disease
Acid Maltase Deficiency,acid deficit,disease
Floppy Muscles,floppy muscle,disease
Stokes-Adams Syncopes,stroke adams,disease
"Paraneoplastic Syndromes, Nervous System",paraneoplastic syndrome nervous system,disease
"Malformations, Cerebral Cavernous",malformation cerebral cavernous,disease
Dysthymic Disorder,dysthymic disorder,disease
"Gait Ataxia, Cerebellar",gait ataxia cerebellum,disease
Atypical Cluster Headache,atypical cluster headache,disease
"Syndromes, Acrocallosal",syndrome,disease
"Huntington Disease, Juvenile Onset",huntington disease juvenile onset,disease
"Neuralgias, Perineal",perineural,disease
"Delirium Tremens, Alcohol Withdrawal Induced",delirium alcohol withdrawal induced,disease
Environmental Sleep Disorders,environmental sleep disorder,disease
"Syndrome, Wittmaack Ekbom",syndrome,disease
"Insufficiencies, Basilar Artery",insufficient basilar artery,disease
"Arnold Chiari Malformation, Type II",arnold chiari malformation type ii,disease
Disinhibition-Dementia-Parkinsonism-Amytrophy Complex,disinhibition dementia parkinson complex,disease
Peripheral Neuritides,peripheral,disease
Alcohol Amnestic Syndrome,alcohol amnestic syndrome,disease
Convulsions,convulsions,disease
"Loss, Bilateral Hearing",loss bilateral hearing,disease
Megalencephaly,,disease
Carcinomatous Meningitis,meningitis,disease
Encephalitis Periaxialis,encephalitis,disease
"Cysts, Perineural",cyst perineural,disease
"Poisoning, Inorganic Arsenic",poisoning inorganic arsenic,disease
Type 1 Spinocerebellar Ataxia,type spinocerebellar ataxia,disease
Traumatic Pontine Hemorrhage,traumatic pontine hemorrhage,disease
Marie Cerebellar Ataxia,marie cerebellar ataxia,disease
Symptomatic Partial Complex Epilepsy,symptom partial complex epilepsy,disease
"Infection, Naegleria fowleri",infection,disease
"Convulsions, Benign Neonatal, Non-Familial",convulsions benign neonatal non familiar,disease
Primary Thunderclap Headache,primary headache,disease
Transient Hypertonias,transient,disease
"Avulsions, Accessory Nerve",accessory nerve,disease
Chronic Wasting Disease,chronic wasting disease,disease
"Aphasias, Progressive Nonfluent",aphasia progressive nonfluent,disease
"Hypokinesias, Antiorthostatic",,disease
"Myasthenia Gravis, Neonatal, Transient",myasthenia gravis neonatal transient,disease
Cortical Diplopias,cortical,disease
"Adenohypophysitides, Lymphocytic",lymphocytic,disease
Neurologic Mercury Poisoning,neurological mercury poisoning,disease
"Injury, Hypoglossal Nerve",injury hypoglossal nerve,disease
"Artery Dissections, Vertebral",artery dissection vertebrate,disease
Complex Partial Status Epilepticus,complex partial status epilepticus,disease
"Muscle Fasciculations, Skeletal",muscle fasciculus skeletal,disease
"Syndrome, Down's",syndrome,disease
"Syncope, Convulsive",syncope convulsions,disease
Pinprick Sensation Diminisheds,pinprick sensation,disease
"Dysarthria, Flaccid",dysarthria flaccid,disease
"Hemiplegias, Crossed",crossed,disease
"Ischemias, Basilar Artery",basilar artery,disease
"Palsy, Traumatic Fourth-Nerve",palsy traumatic fourth nerve,disease
"Syndrome, Martin-Bell",syndrome martin bell,disease
Olivopontocerebellar Atrophy 2,atrophy,disease
"Comas, Post-Head Injury",post head injury,disease
Fibromyalgia,fibromyalgia,disease
"Leukodystrophies, Adult Metachromatic",adult metachromatic,disease
"Syndromes, Nocturnal Eating-Drinking",syndrome nocturnal eating drinking,disease
Craniofacial Pain Syndromes,craniofacial pain syndrome,disease
Dystonia Musculorum Deformans,dystonia,disease
"Palsies, Traumatic Eleventh-Nerve",palsies traumatic eleven nerve,disease
Cranial Pneumocysts,cranial,disease
Thoracic Outlet Syndromes,thoracic outlet syndrome,disease
"Brainstem Hemorrhage, Traumatic",brainstem hemorrhage traumatic,disease
"Muscular Dystrophy, Pseudohypertrophic",muscular dystrophy,disease
"Nerve Transection, Lingual",nerve transection lingual,disease
Lupus Meningoencephalitis,lupus meningoencephalitis,disease
Post Traumatic Seizure Disorder,post traumatic seizure disorder,disease
Landau-Kleffner Syndrome,landau syndrome,disease
Ageusia,,disease
Spastic Diplegia,spasticity diplegia,disease
"Nonconvulsive Seizure Disorder, Generalized",seizure disorder general,disease
Striatonigral Atrophies,striatonigral atrophic,disease
Cerebral Aneurysms,cerebral aneurysm,disease
Pneumocephalus,,disease
"Encephaloceles, Occipital",occipital,disease
"Neurologic Disease, Degenerative",neurological disease degeneration,disease
"Ophthalmoplegia, Pigmentary Degeneration of Retina, and Cardiomyopathy",ophthalmic degeneration retinal cardiomyopathy,disease
"Injury, Minor Head",injury minor head,disease
Ramsay Hunt Paralysis Syndrome,ramsay hunt paralysis syndrome,disease
Mixed Pineocytoma-Pineoblastoma,mixed,disease
Visual Partial Seizures,visual partial seizure,disease
"Syndrome, Wittmaack-Ekbom",syndrome,disease
Brachial Plexus Neuritis,brachial plexus neuritis,disease
"Seizures, Tonic-Clonic",seizure tonic clonic,disease
"Nerve Traumas, Laryngeal",nerve trauma laryngeal,disease
"Hemiplegia, Post-Ictal",hemiplegia post ictal,disease
Asymptomatic Neurosyphilis,asymptomatic,disease
"Poisoning, Lead, Neurologic, Childhood",poisoning lead neurological childhood,disease
"Trauma, Eighth-Nerve",trauma eighth nerve,disease
"Cavernous Malformation, Cerebral",cavernous malformation cerebral,disease
Apraxias,,disease
Lateral Popliteal Neuropathies,lateral popliteal neuropathy,disease
"Disease, Parry-Romberg",disease romberg,disease
Kjer Optic Atrophy,optic atrophy,disease
"Talking, Sleep",taking sleep,disease
Pyogenic Brain Abscesses,pyogenic brain abscess,disease
Small Fibre Neuropathies,small fibre neuropathy,disease
Henneberg Syndrome,syndrome,disease
"Myoclonic Epilepsy, Baltic",myoclonic epilepsy baltic,disease
Vagus Nerve Injuries,vagus nerve injuries,disease
CACH Syndromes,syndrome,disease
"Injuries, Vestibulocochlear Nerve",injuries nerve,disease
"Amnesias, Retrograde",retrograde,disease
Traumatic Stress Disorder,traumatic stress disorder,disease
"Polyradiculopathies, Abdominal",abdominal,disease
Trigeminal Nerve Traumas,trigeminal nerve trauma,disease
Group B Cockayne Syndrome,group syndrome,disease
Classical Lissencephaly,classical lissencephaly,disease
Post-Trauma Coma,post trauma coma,disease
Diffuse Neurofibrillary Tangles with Calcification,diffuse neurofibrillary tangles calcification,disease
"Tyrosinemias, Type I",type,disease
"Neuropathy, Proximal Median",neuropathy proximal median,disease
"Tumor, Cerebellopontine Angle",tumor cerebellopontine angle,disease
"Neuropathies, Internal Popliteal",neuropathy internal popliteal,disease
"Seizure, Vertiginous",seizure,disease
"Contusion, Cerebral",contusion cerebral,disease
"Malformation, Cavernous Angiomatous",malformation cavernous,disease
"Brain Tumor, Recurrent",brain tumor recurrent,disease
Nonfamilial Olivopontocerebellar Atrophies,atrophic,disease
"Paraplegia, Spastic",paraplegia spasticity,disease
Isolated Lissencephaly Sequence,isolated lissencephaly sequence,disease
"Syndrome, Hurst",syndrome hurst,disease
Toxic Encephalopathies,toxic encephalitis,disease
"Quadriplegia, Flaccid",quadriplegia flaccid,disease
Paving stone retinal degeneration,paving stone retinal degeneration,disease
Hand Arm Vibration Syndrome,hand arm vibration syndrome,disease
PVSs (Persistent Vegetative State),persistent vegetative state,disease
"Seizure Disorder, Nonconvulsive Generalized",seizure disorder general,disease
Special Senses Disorder,special sense disorder,disease
Schimmelpenning Syndrome,syndrome,disease
"Tumors, Cerebellopontine Angle",tumor cerebellopontine angle,disease
"Meningioma, Angioblastic",meningioma,disease
"Ulnar Nerve Compression, Cubital Tunnel",ulnar nerve compression cubital tunnel,disease
Subacute Necrotising Myelitis,subacute myelitis,disease
"Brain Injury, Vascular",brain injury vascular,disease
"Syndrome, Devic",syndrome,disease
"Vision Defects, Color",vision defect color,disease
HIV Encephalopathy,hiv encephalopathy,disease
"Polyneuropathy, Amyloid",polyneuropathy amyloid,disease
"Syndrome, Cauda Equina",syndrome cauda equina,disease
Rotary Nystagmus,rotary nystagmus,disease
DAI (Diffuse Axonal Injury),dai diffuse axonal injury,disease
Sleep Terror,sleep terror,disease
Acute Autoimmune Neuropathies,acute autoimmune neuropathy,disease
Hallucinations,hallucination,disease
"Muscular Dystrophy, Limb-Girdle, Type 2D",muscular dystrophy limb girdle type,disease
"Neuropathy, Hereditary Motor and Sensory, Type IV",neuropathy hereditary motor sensory type iv,disease
Adult Pelizaeus-Merzbacher Disease,adult disease,disease
Congenital Myotonic Dystrophies,congenital myotonic dystrophy,disease
Brachial Plexus Disorders,brachial plexus disorder,disease
Spinal Accessory Nerve Injury,spinal accessory nerve injury,disease
Traumatic Midbrain Hemorrhage,traumatic midbrain hemorrhage,disease
Cauda Equina Syndromes,cauda equina syndrome,disease
Communicative Dysfunction,communication dysfunction,disease
Brain Anoxia-Ischemias,brain anoxia,disease
Subcortical Infarctions,subcortical infarction,disease
"Rhinorrheas, Cerebrospinal",cerebrospinal,disease
"Leukoencephalitis, Subacute Hemorrhagic",subacute hemorrhage,disease
"Nerve Palsies, Oculomotor",nerve palsies oculomotor,disease
"Insufficiency, Vertebral Artery",insufficient vertebrate artery,disease
Posterior Optic Neuritides,posterior optic,disease
Motor Tic Disorders,motor tic disorder,disease
Peripheral Nervous System Disorders,peripheral nervous system disorder,disease
Demyelinating disease,demyelinating disease,disease
"Nevus, Linear Sebaceous",linear sebaceous,disease
"Nystagmus, Congenital",nystagmus congenital,disease
"Meningomyelocele, Acquired",acquired,disease
"Partial Seizures, Visual",partial seizure visual,disease
Juvenile Cerebroretinal Degenerations,juvenile degeneration,disease
Anterior Cerebral Artery Infarction,anterior cerebral artery infarction,disease
"Neoplasm, Nerve Sheath",neoplasm nerve sheath,disease
"Degenerations, Corticostriatal-Spinal",degeneration corticospinal spinal,disease
Carotid Artery Plaque,carotid artery plaque,disease
"Injuries, Cranial Nerve",injuries cranial nerve,disease
"Nerve Transection, Trochlear",nerve transection trochlear,disease
Finnish-Markesbery Muscular Dystrophy,finnish muscular dystrophy,disease
Acute Inflammatory Polyneuropathies,acute inflammatory polyneuropathy,disease
Malignant Optic Nerve Neoplasm,malignant optic nerve neoplasm,disease
Tetany,,disease
Ataxia Telangiectasia,ataxia telangiectasia,disease
Schilder-Addison Complex,complex,disease
Parsonage-Aldren-Turner Syndrome,turner syndrome,disease
Lower Motor Neuron Disease,lower motor neuron disease,disease
Basilar Artery Insufficiency,basilar artery insufficient,disease
Neurologic Degenerative Condition,neurological degeneration condition,disease
Paraneoplastic Anti-NMDAR Encephalitis,paraneoplastic anti nmda encephalitis,disease
Pineal Tumors,pineal tumor,disease
"Brain Abscesses, Sterile",brain abscess sterile,disease
"Myopathy, Central Core",myopathy central core,disease
"Syndrome, Willis Ekbom",syndrome willi,disease
Pachygyria,pachygyria,disease
Secretory Meningiomas,secretory meningioma,disease
"Ocular Ophthalmoplegias, Sympathetic",ocular sympathetic,disease
Cranial Nerve V Injury,cranial nerve v injury,disease
"Brainstem Neoplasms, Primary",brainstem neoplasm primary,disease
"Seizure Disorders, Hemimotor",seizure disorder,disease
"Rhinorrhea, Cerebrospinal Fluid, Traumatic",rhinorrhea cerebrospinal fluid traumatic,disease
"Ataxia, Presenile",ataxia presenile,disease
"Alveolar Hypoventilation, Central",alveolar hypoventilation central,disease
Somatosensory Seizure,somatosensory seizure,disease
"Muscular Dystrophy, Limb-Girdle",muscular dystrophy limb girdle,disease
"Storage Disease, Ceroid",storage disease ceroid,disease
"Epilepsy, Progressive Myoclonic 2A",epilepsy progressive myoclonic,disease
"Malformation, Intracranial Arteriovenous",malformation intracranial arteriovenous,disease
Temporal Central Focal Epilepsy,temporal central focal epilepsy,disease
"Limbs, Phantom",limb phantom,disease
Accessory Nerve Trauma,accessory nerve trauma,disease
Chronic Progressive Multiple Sclerosis,chronic progressive multiple sclerosis,disease
Visual Seizure,visual seizure,disease
Demyelinating Diseases,demyelinating disease,disease
Hemimotor Seizure Disorder,seizure disorder,disease
"Spasms, Cryptogenic Infantile",spasm cryptogenic infantile,disease
"Angiomas, Familial Cavernous",familiar cavernous,disease
"Palsies, Facial",palsies facial,disease
Acquired Neuromyotonia,acquired,disease
Polyradiculitis,,disease
"Epilepsies, Gelastic",epilepsies,disease
"Syndromes, Ophthalmoplegic Migraine",syndrome migraine,disease
Encephalopathy,encephalopathy,disease
"Dysplasias, Cortical",dysplasia cortical,disease
Cerebellar Herniations,cerebellum,disease
Brown Sequard's Disease,brown disease,disease
"Plexopathies, Brachial",brachial,disease
Tremors,tremor,disease
Agyria-Pachygyria-Band Spectrum,pachygyria band spectrum,disease
"Meningoencephalocele, Cranial",cranial,disease
Autoimmune Disorders of the Nervous System,autoimmune disorder nervous system,disease
"Spongiform Encephalopathy, Bovine",spongiform encephalopathy bovine,disease
"Creutzfeldt Jakob Disease, Variant",creutzfeldt jakob disease variant,disease
Progressive Facial Hemiatrophies,progressive facial,disease
"Syndrome, Miller-Dieker Lissencephaly",syndrome miller lissencephaly,disease
"Deformity, Arnold-Chiari",deformity arnold chiari,disease
"Pain Syndrome Type I, Complex Regional",pain syndrome type complex region,disease
"Apnea, Sleep",apnea sleep,disease
Mad Hatters Disease,mad disease,disease
"Myopathy, Centronuclear",myopathy,disease
"Paranoid Dementia, Senile",paranoid dementia senile,disease
"Trauma, Hypoglossal Nerve",trauma hypoglossal nerve,disease
"Stuttering, Acquired",stuttering acquired,disease
Dyskinesias,dyskinesia,disease
Krabbes Leukodystrophy,leukodystrophy,disease
"Syndromes, Piriformis Muscle",syndrome muscle,disease
"Artery Ischemias, Vertebral",artery vertebrate,disease
"Burns, Eye",burn eye,disease
Tetanillas,,disease
"Axonal Neuropathy, Alcoholic",axonal neuropathy alcohol,disease
Dysautonomia,dysautonomia,disease
Parsonage Turner Syndrome,turner syndrome,disease
"Nyctohemeral Rhythms, Disturbed",rhythm disturbance,disease
Benign Familial Neonatal Epilepsy,benign familiar neonatal epilepsy,disease
Hypothalamic Dysfunction Syndrome,hypothalamus dysfunction syndrome,disease
Pachydermatocele,,disease
Mandibular Fracture,mandibular fracture,disease
Experimental Parkinsonisms,experimental,disease
"Tinnitus, Leudet",tinnitus,disease
Non paraneoplastic Anti N Methyl D Aspartate Receptor Encephalitis,non paraneoplastic anti methyl aspartate receptor encephalitis,disease
"Syndrome, Hyper-IgD",syndrome hyper igd,disease
Traumatic First-Nerve Palsy,traumatic first nerve palsy,disease
"Malformation, Familial Cavernous",malformation familiar cavernous,disease
"Tic Disorder, Vocal",tic disorder vocal,disease
"Neuritis, Brachial Plexus",neuritis brachial plexus,disease
Spielmeyer-Vogt Disease,vogt disease,disease
Oral Dyspraxias,oral,disease
Luft's Disease,disease,disease
Spasm of Conjugate Gaze,spasm conjugate gaze,disease
Alstrom Hallgren Syndrome,syndrome,disease
Acquired Dyslexia,acquired dyslexia,disease
Marinesco-Garland Syndrome,garland syndrome,disease
"Transection, Trigeminal Nerve",transection trigeminal nerve,disease
"Tinnitus, Spontaneous Oto-Acoustic Emission",tinnitus spontaneous acoustic emission,disease
Transient Vegetative State,transient vegetative state,disease
"Disease, Thomsens",disease,disease
Presynaptic Congenital Myasthenic Syndromes,presynaptic congenital syndrome,disease
Medication Induced Dyskinesia,medication induced dyskinesia,disease
Olfactory Nerve Trauma,olfactory nerve trauma,disease
Absence Seizure,absence seizure,disease
Reflex Sympathetic Dystrophies,reflex sympathetic dystrophy,disease
Paralyses,,disease
Arachnoid Cysts,arachnoid cyst,disease
Tarui's Disease,disease,disease
"Syndrome, Congenital Myasthenic",syndrome congenital,disease
